"Well","ESP_OD_Casing_inches","Motor_Oil_Temperature","Intake_Temperature_F","Intake_Pressure_Mpa","Motor_Vibration","Current_Leakage_mA","PressureROC","Surface_Temperature"
"Well_3196N",4.5,424,422,6.67,18.1,4.521,2.03,319
"Well_4104A",4.5,348,353,11.88,17.5,5.115,2.27,249
"Well_75AG",4.5,313,310,11.83,17.5,6.777,0.73,216
"Well_580G",4.5,412,416,5.7,17,5.299,2.3,297
"Well_1790N",5.5,396,394,5.45,19.4,3.86,1.39,279
"Well_4943A",7,362,366,9.17,17.7,0.525,2.09,259
"Well_2947AG",5.5,323,323,3.54,19.5,7.438,0.76,226
"Well_2548G",4.5,350,347,9.66,15.9,3.402,2.72,243
"Well_1908N",4.5,385,383,10.27,15.3,14.701,0.63,271
"Well_2496A",5.5,487,482,6.04,16.2,14.576,2.94,346
"Well_2777AG",4.5,411,406,5.17,18.2,8.638,1.63,288
"Well_1213G",5.5,361,364,9.51,15.6,15.976,0.31,257
"Well_2032N",4.5,408,412,5.31,18.4,1.087,1.89,294
"Well_2304A",4.5,428,423,8.65,15,4.344,2.94,301
"Well_4732AG",5.5,319,322,3.36,17.6,7.792,0.25,225
"Well_4794G",5.5,340,339,9.31,16.5,6.732,1.57,238
"Well_3397N",7,402,403,6.29,16.9,10.683,2.43,286
"Well_3616A",5.5,419,415,9.43,18.4,2.554,0.31,295
"Well_578AG",5.5,403,403,9.24,19.6,7.003,0.57,286
"Well_2574G",5.5,409,409,8.07,18.6,13.312,0.91,291
"Well_681N",4.5,301,303,11.15,19,2.822,2.96,211
"Well_1244A",5.5,298,300,7.84,16.6,12.921,1.8,209
"Well_2508AG",4.5,377,373,8.08,15,3.944,2.49,263
"Well_2224G",4.5,422,423,5.79,15.8,1.057,0.78,302
"Well_3434N",4.5,482,486,3.28,18.5,15.536,2.89,350
"Well_4169A",7,431,429,11.35,16.8,7.732,0.85,306
"Well_569AG",4.5,335,334,8.75,15.5,7.447,0.15,234
"Well_1045G",5.5,341,343,9.95,18.4,5.841,2.02,241
"Well_4028N",4.5,424,424,8.78,16.8,3.427,0.16,302
"Well_2816A",5.5,329,326,4.5,18.3,10.21,1.99,246
"Well_3729AG",5.5,307,306,7.64,18.7,9.108,1.27,213
"Well_3908G",4.5,349,351,3.85,19.7,11.644,0.47,247
"Well_4330N",5.5,334,339,11.74,18.7,12.35,0.12,239
"Well_551A",4.5,502,498,10.63,16.3,5.193,2.77,359
"Well_4348AG",5.5,383,385,11.23,15.8,9.897,2.58,289
"Well_441G",4.5,401,406,4.64,17.9,9.55,2.13,289
"Well_1901N",5.5,400,398,5.72,17.7,0.342,0,282
"Well_2375A",4.5,417,421,7.74,19.6,13.455,0.43,301
"Well_4321AG",4.5,478,477,3.25,18.3,3.007,2.08,343
"Well_2434G",4.5,331,329,9.35,19.1,10.394,2.15,230
"Well_3927N",4.5,462,461,3.37,15.3,8.573,2.11,346
"Well_509A",7,412,415,11.01,15.2,5.643,0.34,296
"Well_3336AG",4.5,340,340,3.2,15,8.514,1.8,239
"Well_3049G",5.5,348,353,9.81,19.6,13.654,1.48,249
"Well_4725N",4.5,453,456,9.76,16.3,2.933,0.65,327
"Well_2181A",4.5,458,458,8.82,17.7,13.782,1.34,328
"Well_3575AG",7,436,434,5.65,19.5,14.256,1,310
"Well_57G",4.5,356,356,10.7,19.6,7.823,0.74,251
"Well_863N",4.5,431,433,9.42,19.8,12.893,1.16,309
"Well_2269A",5.5,384,382,10.94,18.9,11.55,2.45,270
"Well_4151AG",4.5,443,444,4.66,19.7,12.555,1.84,318
"Well_4369G",4.5,314,310,9.72,18.6,10.871,2.57,215
"Well_4332N",7,349,346,6.18,16.9,13.95,2.48,243
"Well_2410A",4.5,401,404,9.17,17.7,9.388,1.24,287
"Well_327AG",7,335,332,7.32,18.4,13.912,1.23,232
"Well_355G",4.5,449,447,8.4,16.5,3.113,0.74,320
"Well_1585N",7,324,326,5.64,17.5,3.741,2.63,228
"Well_889A",4.5,442,440,8.29,19.6,11.881,1.41,314
"Well_4433AG",5.5,355,358,8,19.9,15.553,0.85,253
"Well_2187G",4.5,455,458,6.22,16.6,10.521,1.14,329
"Well_477N",5.5,495,498,7.5,19.5,4.835,0.33,359
"Well_2240A",4.5,399,399,11.76,17.1,0.534,2.68,283
"Well_2480AG",4.5,459,456,9.22,17.2,14.551,1.52,344
"Well_1226G",5.5,441,437,3.76,17.3,0.328,1.76,312
"Well_1574N",5.5,419,417,4.51,15.3,4.824,0.51,297
"Well_1225A",4.5,390,392,5.1,17.9,14.427,2.15,278
"Well_2354AG",4.5,466,468,6.77,16.5,1.217,2.36,336
"Well_2103G",5.5,456,459,3.42,15.6,0.427,1.02,345
"Well_3578N",5.5,310,314,4.04,18.6,9.562,0.24,220
"Well_2170A",5.5,415,417,4.85,19.5,11.931,1.12,297
"Well_851AG",4.5,428,430,11.34,16.4,14.763,1.77,324
"Well_2257G",4.5,482,479,8.33,19.9,13.097,2.23,344
"Well_3518N",4.5,457,456,10.17,18,7.15,0.49,327
"Well_3995A",4.5,348,352,5.1,19,8.109,1.95,248
"Well_4147AG",5.5,345,348,7.52,19.2,12.346,0.31,245
"Well_1172G",4.5,321,322,3.27,17.2,12.598,0.67,225
"Well_3242N",4.5,401,406,4.63,19.8,8.032,1.16,289
"Well_4074A",5.5,487,485,4.92,17.1,5.413,2.01,349
"Well_353AG",4.5,386,387,9.48,16.5,4.184,2.79,274
"Well_4049G",4.5,358,358,6.39,17,9.864,2.95,252
"Well_2822N",7,355,353,4.6,18,3.75,2.56,248
"Well_2984A",4.5,474,470,11.28,19.9,6.262,2.52,357
"Well_844AG",4.5,439,434,11.3,17.2,6.721,1.08,309
"Well_4990G",4.5,302,300,4.24,17.2,13.152,1.97,208
"Well_3341N",4.5,393,391,10.16,18.3,12.196,0.41,277
"Well_1533A",7,395,399,7.68,15.5,2.533,1.33,284
"Well_1346AG",4.5,394,393,10.82,16.6,13.94,1.26,279
"Well_2954G",5.5,326,329,6.43,17.9,2.856,0.92,231
"Well_1587N",5.5,415,411,10.84,19.5,3.959,2.21,292
"Well_2087A",4.5,336,332,11.31,15,6.882,0.74,232
"Well_1108AG",4.5,305,301,5.4,15,4.453,2.36,209
"Well_1220G",4.5,425,423,10.96,16.1,8.312,1.48,301
"Well_2837N",4.5,312,314,7.4,16.9,5.115,1.74,219
"Well_2507A",4.5,296,301,11.28,18.6,10.482,0.35,210
"Well_3709AG",4.5,405,410,3.45,15.3,4.618,0.93,292
"Well_4346G",4.5,421,416,9.31,18.9,5.736,1.94,314
"Well_2803N",4.5,369,371,10.61,19.4,4.432,1.04,262
"Well_2022A",5.5,332,328,3.11,15.9,0.719,2,229
"Well_1681AG",4.5,409,407,3.46,19.7,6.023,1.79,289
"Well_934G",5.5,356,359,6.12,17.6,14.289,0.57,253
"Well_3149N",4.5,317,315,7.45,16.1,5.878,0.84,219
"Well_1766A",5.5,444,441,4.05,15.6,6.515,0.62,315
"Well_2139AG",4.5,492,496,11.78,19.3,15.704,2.33,358
"Well_198G",4.5,391,388,8.43,16.7,7.814,2.74,274
"Well_4832N",4.5,369,369,4.01,17.8,6.736,0.4,260
"Well_1507A",5.5,470,473,10.82,15.5,13.788,1.52,356
"Well_4884AG",5.5,483,486,5.02,17.1,10.321,0.34,350
"Well_2570G",7,368,373,3.35,18.6,8.23,2.14,264
"Well_4688N",4.5,481,484,3.34,16.3,0.833,0.57,349
"Well_339A",4.5,466,464,7.81,16.1,13.499,2.43,333
"Well_1154AG",4.5,429,430,6.25,19.5,14.698,2.89,307
"Well_987G",4.5,335,334,8.7,18.6,9.812,1.69,234
"Well_2675N",5.5,360,360,7.03,19.2,6.686,1.93,254
"Well_364A",5.5,454,457,10.42,18.3,2.757,1.45,328
"Well_550AG",4.5,423,426,7.7,16.7,2.911,1.27,304
"Well_4583G",4.5,323,319,3.89,15.4,4.225,2.21,222
"Well_976N",4.5,385,389,7.3,18.2,9.001,2.15,276
"Well_826A",4.5,426,422,9.86,15.6,9.365,0.95,300
"Well_4114AG",4.5,346,347,8.11,19.6,0.493,1.38,244
"Well_794G",4.5,495,500,7.55,17.9,8.726,0.18,361
"Well_3777N",4.5,505,500,7.74,18,3.461,1.32,360
"Well_2111A",4.5,397,394,5.14,18,3.93,2.17,279
"Well_4968AG",4.5,487,489,11.85,16.7,13.83,1.01,352
"Well_2428G",5.5,414,417,3.32,16.7,1.641,2.86,297
"Well_2021N",5.5,457,458,11.99,18.9,14.024,1.41,328
"Well_2674A",4.5,390,390,4.02,19.1,13.834,1.85,276
"Well_1192AG",4.5,393,390,10.86,15.7,11.895,1.22,276
"Well_3116G",7,330,325,10.71,16.8,14.946,1.32,227
"Well_4634N",4.5,472,467,6.88,19.9,11.617,0.38,335
"Well_3966A",4.5,310,309,8.9,17.2,14.624,0.1,215
"Well_1956AG",5.5,360,355,8.88,16.9,2.458,0.75,266
"Well_1423G",4.5,458,461,8.04,18.2,12.161,0.73,331
"Well_3517N",5.5,354,355,4.23,17.9,10.092,1.96,250
"Well_4226A",5.5,376,373,5.35,18.9,6.475,0.57,263
"Well_1899AG",4.5,324,324,7.15,18.3,12.644,1.05,245
"Well_4678G",4.5,406,407,10.26,15,10.448,2.35,289
"Well_3322N",4.5,402,402,9.84,18.4,5.628,2.82,286
"Well_2546A",4.5,305,303,7.74,17.1,15.262,2.37,210
"Well_4136AG",4.5,324,321,5.59,19.3,10.11,1.7,224
"Well_4097G",5.5,405,401,5.97,15.3,8.356,0.06,284
"Well_4196N",4.5,384,383,3.23,16.9,4.708,0.38,271
"Well_7A",5.5,311,308,5.58,18,15.615,1.67,214
"Well_3975AG",4.5,338,338,10.94,15.4,15.191,2.99,237
"Well_498G",5.5,365,368,6.41,19.6,6.19,0.62,260
"Well_3512N",4.5,308,311,4.19,18.5,15.691,1,236
"Well_1997A",4.5,340,335,7.86,17.9,4.426,0.97,234
"Well_1457AG",4.5,395,400,10.37,17.1,1.262,1.39,285
"Well_4251G",4.5,350,353,4.3,18.8,8.32,2.52,249
"Well_3022N",4.5,390,393,4.02,17.5,5.329,2.05,279
"Well_4125A",4.5,460,463,7.76,18.5,0.666,0.51,351
"Well_2646AG",7,494,495,7.16,15.7,15.713,2.64,357
"Well_3700G",4.5,315,312,7.06,19.4,4.899,0.3,217
"Well_3948N",5.5,419,423,3.37,19.3,7.638,1.42,302
"Well_4161A",4.5,393,395,3.59,18.9,0.348,0.68,281
"Well_3820AG",4.5,402,404,11.94,15,8.327,1.88,302
"Well_3833G",4.5,453,451,5.81,15.6,2.028,2.46,323
"Well_2278N",5.5,429,430,9.93,16.5,7.734,0.64,307
"Well_309A",4.5,502,500,5.75,19.5,5.541,1.15,360
"Well_3586AG",4.5,458,462,9.99,17.2,10.525,2.13,332
"Well_2971G",5.5,337,341,11.48,18.9,14.192,2.76,240
"Well_4547N",4.5,476,475,6.67,15,15.389,1.16,341
"Well_921A",4.5,420,422,6.96,17.5,3.25,0.73,301
"Well_1036AG",4.5,340,345,5.15,19.4,14.968,0.62,243
"Well_415G",4.5,456,452,10.01,19.3,4.669,0.8,323
"Well_964N",4.5,372,370,11.09,16.1,10.93,2.75,261
"Well_4160A",4.5,481,483,10.61,16.7,12.259,0.41,348
"Well_3969AG",7,480,481,9.98,20,12.955,1.43,346
"Well_2299G",5.5,409,411,10.92,18,7.275,0.06,293
"Well_1424N",4.5,314,309,3.73,19.4,13.837,0.06,215
"Well_1496A",5.5,312,309,4.6,16.1,2.087,1.96,231
"Well_3161AG",4.5,417,418,8.42,15.9,0.111,1.52,298
"Well_1367G",4.5,449,453,8.78,19.3,12.424,2.68,325
"Well_3839N",4.5,367,365,8.8,17,9.498,0.32,274
"Well_4567A",4.5,312,307,5.48,18.6,14.239,2.93,213
"Well_3406AG",4.5,344,344,9.46,17,3.21,0.63,242
"Well_3065G",4.5,353,354,10.01,19.1,6.593,1.06,249
"Well_3179N",7,352,356,5.12,15.3,3.827,0.28,251
"Well_1660A",7,460,462,7.76,16.2,8.501,0.98,332
"Well_1305AG",4.5,456,460,3.35,17.4,10.189,1.85,330
"Well_925G",7,478,482,3.5,17.7,7.818,0.52,347
"Well_9N",4.5,483,479,9.46,16,9.225,0.51,344
"Well_871A",4.5,355,358,3.07,18.1,12.224,1.47,253
"Well_3328AG",4.5,338,341,3.75,17.3,1.525,1.69,240
"Well_3075G",5.5,337,342,7.88,17.3,14.649,1.66,258
"Well_604N",4.5,415,410,7.6,18.5,15.46,0.3,291
"Well_443A",7,395,398,4.89,17.3,13.935,0.13,283
"Well_3046AG",4.5,500,500,4.24,16.6,3.98,1.16,361
"Well_4987G",5.5,459,462,4.74,17.2,1.738,0.45,332
"Well_446N",4.5,486,481,3.83,16.3,5.732,1.33,345
"Well_3367A",4.5,446,447,6.86,16,11.868,1.44,320
"Well_3866AG",5.5,439,437,7.01,19.7,7.567,0.66,312
"Well_1008G",4.5,501,496,10.17,19.8,1.986,1.18,357
"Well_2708N",4.5,326,325,7.85,18,7.887,1.61,245
"Well_4961A",5.5,460,464,3.27,16.8,15.155,2.87,333
"Well_4624AG",5.5,414,419,10.4,17,8.123,0.39,299
"Well_2537G",7,375,376,8.72,17.1,9.282,1.34,266
"Well_1895N",7,474,476,6.32,17,3.63,2.7,342
"Well_4287A",4.5,440,438,9.41,15.9,14.565,1.05,313
"Well_2067AG",4.5,461,456,5.04,17.7,0.115,2.89,326
"Well_662G",5.5,348,349,3.04,17.3,13.006,1.2,246
"Well_1395N",4.5,340,340,8.66,18.4,1.669,2.54,239
"Well_3558A",5.5,433,436,7.41,19,13.302,2.07,312
"Well_1911AG",4.5,412,414,5.67,16.7,12.285,1.52,295
"Well_1316G",4.5,475,473,4.23,20,4.008,0.91,340
"Well_3978N",4.5,301,300,9.73,15.9,13.426,0.21,208
"Well_798A",5.5,369,370,10.22,16.5,7.124,2.98,261
"Well_1634AG",5.5,384,382,3.65,19,7.904,0.57,270
"Well_2863G",5.5,431,429,5.17,19.9,7.566,0.36,306
"Well_2042N",4.5,324,327,7.2,19.6,15.301,0.16,229
"Well_1878A",4.5,457,459,5.36,18.1,3.396,1.19,329
"Well_4774AG",5.5,376,377,7.46,17.3,6.792,2.52,267
"Well_615G",5.5,329,325,11.69,16.4,7.244,2.7,227
"Well_2977N",4.5,460,462,11.47,19.9,10.024,1.74,332
"Well_4335A",5.5,309,305,4.27,19.5,6.448,0.3,212
"Well_1227AG",5.5,315,318,9.9,19.8,13.251,0.21,242
"Well_189G",7,400,403,8.05,16.7,12.469,0.54,287
"Well_4527N",4.5,312,313,11.99,17.4,9.245,1.03,218
"Well_186A",5.5,461,459,5.74,17,5.375,2.85,329
"Well_390AG",4.5,472,477,3.64,18.4,15.226,2.43,344
"Well_920G",4.5,455,455,11.93,18.8,10.316,0.12,326
"Well_1341N",5.5,501,500,5.41,16.4,0.527,0.66,360
"Well_367A",4.5,397,392,7.11,19.9,12.968,0.09,277
"Well_4126AG",4.5,341,340,9.31,15.6,1.993,2.85,238
"Well_4506G",4.5,456,455,10.98,15.7,9.564,2.45,342
"Well_3395N",5.5,421,419,11.55,19.4,13.187,1.7,298
"Well_1051A",4.5,322,320,10.12,16.9,11.473,0.23,223
"Well_4838AG",4.5,396,400,8.77,16.8,0.292,0.27,285
"Well_3164G",5.5,426,424,8.21,18.5,15.796,0.15,302
"Well_202N",4.5,355,356,11.81,19.5,6.126,0.92,251
"Well_2336A",5.5,425,426,5.26,16.6,5.594,2.82,304
"Well_3822AG",4.5,390,389,4.46,16.5,12.85,2.79,276
"Well_3510G",4.5,492,495,9.43,17.5,3.794,0.98,357
"Well_69N",5.5,406,403,6.17,18.9,12.593,1.12,286
"Well_1780A",4.5,425,423,3.39,17,0.195,2.33,301
"Well_809AG",4.5,452,448,10.09,18.9,15.563,1.58,320
"Well_3429G",4.5,437,435,10.72,15.3,13.548,2.31,326
"Well_163N",5.5,413,408,11.26,17,9.269,2.5,289
"Well_2502A",4.5,344,339,4.83,16.2,1.684,1.61,237
"Well_2501AG",4.5,472,469,10.82,15.1,13.349,0.08,336
"Well_1570G",4.5,324,328,4.85,15.9,15.154,1.61,230
"Well_4914N",5.5,321,326,9.82,17.6,0.805,0.35,229
"Well_2622A",4.5,383,382,11.91,17.7,9.476,0.36,288
"Well_3583AG",4.5,414,412,5.18,15.2,4.039,1.65,293
"Well_1249G",5.5,369,370,5.79,15.7,11.095,0.4,261
"Well_1148N",7,352,351,5.48,19.2,2.286,2.79,266
"Well_4098A",5.5,439,436,10.31,15.3,11.14,0.3,311
"Well_4139AG",4.5,492,495,9.4,15.2,10.529,0.43,357
"Well_643G",5.5,351,352,3.54,15.8,7.268,1.12,248
"Well_1523N",4.5,312,307,11.08,17.9,11.596,0.31,213
"Well_664A",4.5,367,362,6.89,15.1,10.557,2.45,254
"Well_2406AG",7,343,348,4.75,17.1,12.153,0.15,245
"Well_2586G",4.5,330,331,11.58,15.6,9.153,2.86,232
"Well_4357N",4.5,480,484,3.55,17,9.898,0.61,366
"Well_1451A",4.5,396,391,10.87,17.7,3.965,1.17,276
"Well_449AG",4.5,412,410,4.47,18.8,13.392,1.37,291
"Well_425G",4.5,303,305,4.28,15.8,7.976,2.93,213
"Well_2256N",4.5,329,325,6.77,16.7,13.081,0.55,227
"Well_3587A",5.5,341,341,10.43,17.3,2.273,0.35,239
"Well_3802AG",7,377,381,9.54,15.2,6.55,2.56,285
"Well_1863G",4.5,490,491,7.96,18.1,12.182,2.66,354
"Well_587N",4.5,311,308,9.31,19.2,14.023,2.52,233
"Well_2661A",4.5,430,426,4.82,18.2,7.736,0.47,303
"Well_3428AG",5.5,341,343,6.55,17.8,6.493,2.03,241
"Well_1708G",4.5,315,317,11.12,16,2.477,1.76,222
"Well_2386N",4.5,445,449,7.07,18.4,4.366,2.08,340
"Well_3256A",4.5,419,422,10.26,19.9,8.606,0.95,301
"Well_4438AG",4.5,440,435,11.27,17.1,7.687,2.39,310
"Well_2444G",5.5,371,372,5.88,15.4,6.352,0.86,263
"Well_87N",5.5,402,401,10.02,18.7,10.527,1.85,285
